depth,seed_id,comparison_type,history_a,replicate_a,history_b,replicate_b,distance
256,seed_101,WITHIN_HISTORY,H_ALPHA,1,H_ALPHA,2,0.09545
256,seed_101,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,0,0.401482
256,seed_101,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,1,0.466615
256,seed_101,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,2,0.47028
256,seed_101,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,0,0.778156
256,seed_101,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,1,0.768395
256,seed_101,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,2,0.77464
256,seed_101,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,0,0.324148
256,seed_101,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,1,0.384236
256,seed_101,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,2,0.392665
256,seed_101,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,0,0.70891
256,seed_101,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,1,0.694039
256,seed_101,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,2,0.700889
256,seed_101,WITHIN_HISTORY,H_BETA,0,H_BETA,1,0.073761
256,seed_101,WITHIN_HISTORY,H_BETA,0,H_BETA,2,0.068851
256,seed_101,BETWEEN_HISTORY,H_BETA,0,H_GAMMA,0,0.388017
256,seed_101,BETWEEN_HISTORY,H_BETA,0,H_GAMMA,1,0.369968
256,seed_101,BETWEEN_HISTORY,H_BETA,0,H_GAMMA,2,0.376955
256,seed_101,WITHIN_HISTORY,H_BETA,1,H_BETA,2,0.040775
256,seed_101,BETWEEN_HISTORY,H_BETA,1,H_GAMMA,0,0.345987
256,seed_101,BETWEEN_HISTORY,H_BETA,1,H_GAMMA,1,0.318138
256,seed_101,BETWEEN_HISTORY,H_BETA,1,H_GAMMA,2,0.326192
256,seed_101,BETWEEN_HISTORY,H_BETA,2,H_GAMMA,0,0.323038
256,seed_101,BETWEEN_HISTORY,H_BETA,2,H_GAMMA,1,0.301945
256,seed_101,BETWEEN_HISTORY,H_BETA,2,H_GAMMA,2,0.309182
256,seed_101,WITHIN_HISTORY,H_GAMMA,0,H_GAMMA,1,0.066594
256,seed_101,WITHIN_HISTORY,H_GAMMA,0,H_GAMMA,2,0.057966
256,seed_101,WITHIN_HISTORY,H_GAMMA,1,H_GAMMA,2,0.010372
256,seed_202,WITHIN_HISTORY,H_ALPHA,0,H_ALPHA,1,0.075685
