depth,seed_id,comparison_type,history_a,replicate_a,history_b,replicate_b,distance
256,seed_202,WITHIN_HISTORY,H_GAMMA,1,H_GAMMA,2,0.00008426
256,seed_303,WITHIN_HISTORY,H_ALPHA,0,H_ALPHA,1,0.00032995
256,seed_303,WITHIN_HISTORY,H_ALPHA,0,H_ALPHA,2,0.00020765
256,seed_303,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,0,0.00090633
256,seed_303,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,1,0.00093717
256,seed_303,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,2,0.00087128
256,seed_303,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,0,0.00090633
256,seed_303,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,1,0.00093717
256,seed_303,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,2,0.00087128
256,seed_303,WITHIN_HISTORY,H_ALPHA,1,H_ALPHA,2,0.00012230
256,seed_303,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,0,0.00057638
256,seed_303,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,1,0.00060722
256,seed_303,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,2,0.00054133
256,seed_303,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,0,0.00057638
256,seed_303,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,1,0.00060722
256,seed_303,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,2,0.00054133
256,seed_303,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,0,0.00069867
256,seed_303,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,1,0.00072951
256,seed_303,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,2,0.00066363
256,seed_303,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,0,0.00069867
256,seed_303,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,1,0.00072951
256,seed_303,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,2,0.00066363
256,seed_303,WITHIN_HISTORY,H_BETA,0,H_BETA,1,0.00003084
256,seed_303,WITHIN_HISTORY,H_BETA,0,H_BETA,2,0.00003505
256,seed_303,BETWEEN_HISTORY,H_BETA,0,H_GAMMA,0,0.00000000
256,seed_303,BETWEEN_HISTORY,H_BETA,0,H_GAMMA,1,0.00003084
256,seed_303,BETWEEN_HISTORY,H_BETA,0,H_GAMMA,2,0.00003505
256,seed_303,WITHIN_HISTORY,H_BETA,1,H_BETA,2,0.00006589
256,seed_303,BETWEEN_HISTORY,H_BETA,1,H_GAMMA,0,0.00003084
256,seed_303,BETWEEN_HISTORY,H_BETA,1,H_GAMMA,1,0.00000000
256,seed_303,BETWEEN_HISTORY,H_BETA,1,H_GAMMA,2,0.00006589
256,seed_303,BETWEEN_HISTORY,H_BETA,2,H_GAMMA,0,0.00003505
256,seed_303,BETWEEN_HISTORY,H_BETA,2,H_GAMMA,1,0.00006589
256,seed_303,BETWEEN_HISTORY,H_BETA,2,H_GAMMA,2,0.00000000
256,seed_303,WITHIN_HISTORY,H_GAMMA,0,H_GAMMA,1,0.00003084
256,seed_303,WITHIN_HISTORY,H_GAMMA,0,H_GAMMA,2,0.00003505
256,seed_303,WITHIN_HISTORY,H_GAMMA,1,H_GAMMA,2,0.00006589
256,seed_404,WITHIN_HISTORY,H_ALPHA,0,H_ALPHA,1,0.00004782
256,seed_404,WITHIN_HISTORY,H_ALPHA,0,H_ALPHA,2,0.00013897
256,seed_404,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,0,0.00085717
256,seed_404,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,1,0.00087888
256,seed_404,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,2,0.00074825
256,seed_404,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,0,0.00085717
256,seed_404,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,1,0.00087888
256,seed_404,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,2,0.00074825
256,seed_404,WITHIN_HISTORY,H_ALPHA,1,H_ALPHA,2,0.00009115
256,seed_404,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,0,0.00090499
256,seed_404,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,1,0.00092670
256,seed_404,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,2,0.00079607
256,seed_404,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,0,0.00090499
256,seed_404,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,1,0.00092670
256,seed_404,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,2,0.00079607
256,seed_404,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,0,0.00099615
256,seed_404,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,1,0.00101785
256,seed_404,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,2,0.00088722
256,seed_404,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,0,0.00099615
256,seed_404,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,1,0.00101785
256,seed_404,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,2,0.00088722
256,seed_404,WITHIN_HISTORY,H_BETA,0,H_BETA,1,0.00002170
256,seed_404,WITHIN_HISTORY,H_BETA,0,H_BETA,2,0.00010893
