depth,seed_id,history_id,replicate_id,poincare_u,poincare_v,pfm_head_digest,current_zone,strain_frobenius,governor_anti_lock
432,seed_101,H_ALPHA,0,0.14157580,0.00000000,da08d26a0d96a8743d2347c2b4f5d7a7a23ef2c3e13d1af314774ab2ddfd32ea,0,3.610672,99.40
432,seed_101,H_ALPHA,1,0.14164440,0.00000000,517a3d60714190b586295e19c32bc4b55bcc6b19f773960ec4eec78d4859fcee,0,3.690028,99.40
432,seed_101,H_ALPHA,2,0.14163070,0.00000000,770831619dbf823a437adaed2803a88e38b2c3695e7fc5a5f0098a475d400f40,0,3.723337,99.40
432,seed_101,H_BETA,0,0.14120010,0.00000000,9c318895ddde8381213106f88e946b96742c30a835a4bc0835fbf07ab80e663b,0,3.915388,99.40
432,seed_101,H_BETA,1,0.14122444,0.00000000,31eb7a2a93b888ff12658f0bb2c3dd4b7b6a95060c1fffc85688f1bbd06654e3,0,4.007234,99.40
432,seed_101,H_BETA,2,0.14123417,0.00000000,82de22fd990a468be7adc86f1ab39f2a420dec7730a69816476818439af6ecbf,0,4.057695,99.40
432,seed_101,H_GAMMA,0,0.14120010,0.00000000,81464a1d3279899586b68e2e234469eeaf9bf0fea6d448b038fbf224cf12436c,0,4.306698,99.40
432,seed_101,H_GAMMA,1,0.14122444,0.00000000,c18e56b861cf58555ec1bf445f91ac60591c384633ba8787b3328299138df31e,0,4.399103,99.40
432,seed_101,H_GAMMA,2,0.14123417,0.00000000,770597cd9e31d95e303910b635452318b99e838c32ec19e65389b6e708b7b9ea,0,4.429119,99.40
432,seed_202,H_ALPHA,0,0.14158684,0.00000000,9c8f3bad9b59b10b10ee83aff110548f91f8c82f9689a4e3e6a75008c76e97e6,0,3.763676,99.40
432,seed_202,H_ALPHA,1,0.14174294,0.00000000,0ec6153c62c81f61b22c1ec008ed6cf1b8a7f3de3c4b477aaeed64591654a24a,0,3.695798,99.40
432,seed_202,H_ALPHA,2,0.14161192,0.00000000,22eb13456b2be0764646d0e6f1d2d8d55dacab54fc5092f2568275c0b759ec72,0,3.749635,99.40
432,seed_202,H_BETA,0,0.14125094,0.00000000,cab54cb6ce772f792fd8f060e08aa24ade29fa2893d2fd21547aa2f73e34f6f1,0,4.113908,99.40
432,seed_202,H_BETA,1,0.14122304,0.00000000,db79f306e7baf4b5534527e63cebab62331c265b9412d7f402027487609ab892,0,3.997363,99.40
432,seed_202,H_BETA,2,0.14124010,0.00000000,f158b06e3c1101bb024713e5f49b40b752ab5445ac46cf7b95ec81944b574056,0,4.085505,99.40
432,seed_202,H_GAMMA,0,0.14125094,0.00000000,4b97dff221cee31bd59467d66efc210da383f365fc2c6f0306158b34fdc299dc,0,4.494704,99.40
432,seed_202,H_GAMMA,1,0.14122304,0.00000000,f2c99a48adbe46a629c94ab88244a26e495023c81719b4c39c273322e448eeb6,0,4.387706,99.40
432,seed_202,H_GAMMA,2,0.14124010,0.00000000,53a60f08d96c81eefe38963c05c36fee47e4bb90102c596be48508368a7e6466,0,4.472663,99.40
432,seed_303,H_ALPHA,0,0.14164176,0.00000000,2135ad20dd4138ad11837d033fcc57c1cf8c0519e12d227d9e02fc84129e8bc8,0,3.736118,99.40
432,seed_303,H_ALPHA,1,0.14157866,0.00000000,fe1b25f33e05620a231e04139e63ada35750c93fd0c0dd18814bb6d14e9ea884,0,3.691497,99.40
432,seed_303,H_ALPHA,2,0.14156875,0.00000000,5263573ed99d3eb92232285f57158809da5052f89b48ce44a05f5a57e8d2b679,0,3.636941,99.40
432,seed_303,H_BETA,0,0.14123954,0.00000000,fa95c4d391c446df28b26a983b4bba6ebf4bb632971d6258ba342de81da47734,0,4.066411,99.40
432,seed_303,H_BETA,1,0.14123099,0.00000000,38676932316c8afff5e1c54878991e9f667cd8db7a903765c8be316221344103,0,4.027514,99.40
432,seed_303,H_BETA,2,0.14121134,0.00000000,7d295a2c8286fe0997ffee42e4565ed0b89b19ee5a55bf19b7a26679fc1e54e2,0,3.959483,99.40
432,seed_303,H_GAMMA,0,0.14123954,0.00000000,bce72a644342a69ecbebda26ade5118f65d564995906278b150941278191417a,0,4.451490,99.40
432,seed_303,H_GAMMA,1,0.14123099,0.00000000,b72e7e7d9b7d28d3fa825030c2f57dc33cc5ea63a06253c685374c61d390467c,0,4.420753,99.40
432,seed_303,H_GAMMA,2,0.14121134,0.00000000,9838d7a322fde2c4b6b32d54148fc842cb9a746a997e89f964e86b83353d26d8,0,4.343194,99.40
432,seed_404,H_ALPHA,0,0.14155111,0.00000000,3913891b96527580eb9ff322ed20f01072e4076acacb299a37bfe5c55905cd52,0,3.654695,99.40
432,seed_404,H_ALPHA,1,0.14158327,0.00000000,2accfe998f285fe206fb7231c74a49e244f8a1032f9ccbef6679546ffde06284,0,3.650133,99.40
432,seed_404,H_ALPHA,2,0.14163689,0.00000000,ab0775cc48097704862c6bccac5bbd184b6c510af3932fbb7f30a753a8dff450,0,3.795455,99.40
432,seed_404,H_BETA,0,0.14121585,0.00000000,35055c2b4d42ff9f8cf32fd7303103007012af3cc0a29c82fc1a05a1f3e59d7b,0,3.969334,99.40
432,seed_404,H_BETA,1,0.14121791,0.00000000,be6204191e880304ce04d941577ffa80298514e78c22b7781930c9252e1bede5,0,3.983681,99.40
